,DonorID,Age,Gender,Location,JoinDate,DonationID,DonationDate,Amount,CampaignID,CampaignName,StartDate,EndDate,TargetAmount,ActualAmount,Channel,Date,EngagementOutcome,ImpactType,Value,Cost
0,DNR00001,56,Male,QLD,2020-10-03 22:59:27.552825,DNT002656,2015-06-16,124.99,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Social Media,27/12/2022,Not Reached,Workshops Delivered,31.0,100.0
45,DNR00001,56,Male,QLD,2020-10-03 22:59:27.552825,DNT011160,2021-11-20,124.46,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Social Media,27/12/2022,Not Reached,Workshops Delivered,19.0,100.0
90,DNR00001,56,Male,QLD,2020-10-03 22:59:27.552825,DNT012124,2017-09-14,128.22,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Social Media,27/12/2022,Not Reached,Workshops Delivered,40.0,100.0
135,DNR00002,25,Male,ACT,2015-11-01 22:59:27.552825,DNT001904,2020-04-17,175.96,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Newsletter,9/09/2023,Not Reached,Workshops Delivered,85.0,100.0
150,DNR00002,25,Male,ACT,2015-11-01 22:59:27.552825,DNT011974,2017-01-19,35.31,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Newsletter,9/09/2023,Not Reached,Workshops Delivered,25.0,100.0
165,DNR00002,25,Male,ACT,2015-11-01 22:59:27.552825,DNT013494,2018-03-15,86.24,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,9/09/2023,Not Reached,Workshops Delivered,27.0,100.0
180,DNR00002,25,Male,ACT,2015-11-01 22:59:27.552825,DNT013927,2019-03-15,147.07,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,9/09/2023,Not Reached,Workshops Delivered,27.0,100.0
195,DNR00003,75,Other,QLD,2020-11-28 22:59:27.552825,DNT003133,2018-01-22,246.01,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Email,8/10/2022,Bounced,Workshops Delivered,25.0,100.0
220,DNR00003,75,Other,QLD,2020-11-28 22:59:27.552825,DNT009388,2023-05-10,67.23,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Email,8/10/2022,Bounced,Workshops Delivered,22.0,100.0
245,DNR00003,75,Other,QLD,2020-11-28 22:59:27.552825,DNT015293,2018-03-27,111.92,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Email,8/10/2022,Bounced,Workshops Delivered,22.0,100.0
270,DNR00003,75,Other,QLD,2020-11-28 22:59:27.552825,DNT017052,2020-01-22,182.46,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Email,8/10/2022,Bounced,Workshops Delivered,31.0,100.0
295,DNR00004,28,Male,NT,2015-08-14 22:59:27.552825,DNT000786,2015-06-27,156.21,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Social Media,1/09/2022,Unsubscribed,Workshops Delivered,24.0,100.0
