DonationID,DonorID,DonationDate,Amount,CampaignID
DNT000001,DNR02416,28/01/2017,24.94,CAMP007
DNT000002,DNR01315,26/07/2015,38.05,CAMP010
DNT000003,DNR04030,8/04/2021,40.45,CAMP001
DNT000004,DNR01318,1/12/2016,221.79,CAMP002
DNT000005,DNR01594,6/10/2021,105.48,CAMP004
DNT000006,DNR01231,24/02/2022,132.8,CAMP005
DNT000007,DNR02613,10/03/2021,74.45,CAMP001
DNT000008,DNR01791,14/10/2023,24.14,CAMP001
DNT000009,DNR01089,25/10/2024,66.71,CAMP003
DNT000010,DNR02946,9/10/2024,113.6,CAMP001
DNT000011,DNR00601,18/07/2020,300.05,CAMP003
DNT000012,DNR01440,3/06/2016,81.11,CAMP005
DNT000013,DNR01130,10/10/2015,299.74,CAMP003
DNT000014,DNR01935,16/08/2017,54.03,CAMP010
DNT000015,DNR01640,21/11/2022,207.04,CAMP008
DNT000016,DNR00233,29/01/2024,47.65,CAMP005
DNT000017,DNR00059,19/09/2022,155.3,CAMP005
DNT000018,DNR02851,23/01/2023,25.12,CAMP006
DNT000019,DNR00317,3/03/2020,27.99,CAMP004
DNT000020,DNR01882,8/03/2024,27.15,CAMP005
DNT000021,DNR01179,10/03/2019,200.25,CAMP006
DNT000022,DNR00528,21/08/2020,171.34,CAMP006
DNT000023,DNR02689,19/05/2021,302.45,CAMP005
DNT000024,DNR01333,17/08/2024,208.54,CAMP010
DNT000025,DNR01841,1/12/2019,42,CAMP006
DNT000026,DNR02139,31/03/2016,11.91,CAMP009
DNT000027,DNR04175,7/02/2019,265.22,CAMP008
DNT000028,DNR03038,8/04/2024,156.61,CAMP004
DNT000029,DNR02692,23/07/2020,31.37,CAMP002
DNT000030,DNR01635,7/02/2015,64.42,CAMP004
DNT000031,DNR00241,15/11/2017,34.72,CAMP006
DNT000032,DNR01930,3/06/2021,66.95,CAMP010
DNT000033,DNR01678,15/02/2015,224.54,CAMP007
DNT000034,DNR04178,13/07/2023,58.36,CAMP004
DNT000035,DNR02442,15/12/2019,11.87,CAMP003
DNT000036,DNR02613,1/01/2015,75.67,CAMP001
DNT000037,DNR01497,25/09/2024,67.31,CAMP007
DNT000038,DNR00915,19/01/2020,28.61,CAMP001
DNT000039,DNR01047,4/09/2022,23.55,CAMP008
DNT000040,DNR04477,16/09/2023,224.67,CAMP005
DNT000041,DNR01144,31/03/2016,223.03,CAMP008
DNT000042,DNR01947,12/07/2020,198.11,CAMP002
DNT000043,DNR00254,4/07/2021,80.52,CAMP003
DNT000044,DNR02884,15/01/2024,17.55,CAMP004
DNT000045,DNR02241,5/02/2016,19.2,CAMP002
DNT000046,DNR02377,29/12/2015,100.28,CAMP004
DNT000047,DNR02307,20/09/2018,153.77,CAMP006
DNT000048,DNR03886,21/12/2024,85.52,CAMP007
DNT000049,DNR00631,10/11/2016,20.56,CAMP006
DNT000050,DNR02372,20/02/2023,74.49,CAMP007
DNT000051,DNR00727,14/06/2018,72.44,CAMP002
DNT000052,DNR01270,23/03/2016,78.49,CAMP001
DNT000053,DNR03476,24/03/2020,164.08,CAMP009
DNT000054,DNR03059,22/06/2024,35.35,CAMP007
DNT000055,DNR02257,9/04/2017,90.79,CAMP002
DNT000056,DNR02649,8/09/2022,11.79,CAMP007
