DonationID,DonorID,DonationDate,Amount,CampaignID
DNT000001,DNR02416,2017-01-28,24.94,CAMP007
DNT000002,DNR01315,2015-07-26,38.05,CAMP010
DNT000003,DNR04030,2021-04-08,40.45,CAMP001
DNT000004,DNR01318,2016-12-01,221.79,CAMP002
DNT000005,DNR01594,2021-10-06,105.48,CAMP004
DNT000006,DNR01231,2022-02-24,132.8,CAMP005
DNT000007,DNR02613,2021-03-10,74.45,CAMP001
DNT000008,DNR01791,2023-10-14,24.14,CAMP001
DNT000009,DNR01089,2024-10-25,66.71,CAMP003
DNT000010,DNR02946,2024-10-09,113.6,CAMP001
DNT000011,DNR00601,2020-07-18,300.05,CAMP003
DNT000012,DNR01440,2016-06-03,81.11,CAMP005
DNT000013,DNR01130,2015-10-10,299.74,CAMP003
DNT000014,DNR01935,2017-08-16,54.03,CAMP010
DNT000015,DNR01640,2022-11-21,207.04,CAMP008
DNT000016,DNR00233,2025-01-29,47.65,CAMP005
DNT000017,DNR00059,2022-09-19,155.3,CAMP005
DNT000018,DNR02851,2023-01-23,25.12,CAMP006
DNT000019,DNR00317,2020-03-03,27.99,CAMP004
DNT000020,DNR01882,2025-03-08,27.15,CAMP005
DNT000021,DNR01179,2019-03-10,200.25,CAMP006
DNT000022,DNR00528,2020-08-21,171.34,CAMP006
DNT000023,DNR02689,2021-05-19,302.45,CAMP005
DNT000024,DNR01333,2024-08-17,208.54,CAMP010
DNT000025,DNR01841,2019-12-01,42.0,CAMP006
DNT000026,DNR02139,2016-03-31,11.91,CAMP009
DNT000027,DNR04175,2019-02-07,265.22,CAMP008
DNT000028,DNR03038,2024-04-08,156.61,CAMP004
DNT000029,DNR02692,2020-07-23,31.37,CAMP002
DNT000030,DNR01635,2015-02-07,64.42,CAMP004
DNT000031,DNR00241,2017-11-15,34.72,CAMP006
DNT000032,DNR01930,2021-06-03,66.95,CAMP010
DNT000033,DNR01678,2015-02-15,224.54,CAMP007
DNT000034,DNR04178,2023-07-13,58.36,CAMP004
DNT000035,DNR02442,2019-12-15,11.87,CAMP003
DNT000036,DNR02613,2015-01-01,75.67,CAMP001
DNT000037,DNR01497,2024-09-25,67.31,CAMP007
DNT000038,DNR00915,2020-01-19,28.61,CAMP001
DNT000039,DNR01047,2022-09-04,23.55,CAMP008
DNT000040,DNR04477,2023-09-16,224.67,CAMP005
DNT000041,DNR01144,2016-03-31,223.03,CAMP008
DNT000042,DNR01947,2020-07-12,198.11,CAMP002
DNT000043,DNR00254,2021-07-04,80.52,CAMP003
DNT000044,DNR02884,2024-01-15,17.55,CAMP004
DNT000045,DNR02241,2016-02-05,19.2,CAMP002
DNT000046,DNR02377,2015-12-29,100.28,CAMP004
DNT000047,DNR02307,2018-09-20,153.77,CAMP006
DNT000048,DNR03886,2024-12-21,85.52,CAMP007
DNT000049,DNR00631,2016-11-10,20.56,CAMP006
DNT000050,DNR02372,2023-02-20,74.49,CAMP007
DNT000051,DNR00727,2018-06-14,72.44,CAMP002
DNT000052,DNR01270,2016-03-23,78.49,CAMP001
DNT000053,DNR03476,2020-03-24,164.08,CAMP009
DNT000054,DNR03059,2024-06-22,35.35,CAMP007
DNT000055,DNR02257,2017-04-09,90.79,CAMP002
DNT000056,DNR02649,2022-09-08,11.79,CAMP007
DNT000057,DNR01821,2017-04-21,107.25,CAMP004
DNT000058,DNR02441,2025-02-01,66.35,CAMP003
DNT000059,DNR02240,2020-04-23,36.21,CAMP004
DNT000060,DNR04831,2017-06-02,91.36,CAMP005
DNT000061,DNR00649,2018-03-25,121.5,CAMP009
DNT000062,DNR00117,2017-09-09,40.44,CAMP004
DNT000063,DNR03152,2022-05-17,204.9,CAMP009
DNT000064,DNR01277,2023-11-15,66.75,CAMP004
DNT000065,DNR00372,2022-09-08,104.13,CAMP001
DNT000066,DNR00156,2022-04-15,95.59,CAMP001
DNT000067,DNR04879,2017-03-14,59.29,CAMP004
DNT000068,DNR02104,2018-10-06,229.99,CAMP004
DNT000069,DNR04404,2024-09-16,61.23,CAMP010
DNT000070,DNR00797,2019-03-10,291.87,CAMP007
DNT000071,DNR03250,2019-04-06,164.63,CAMP001
DNT000072,DNR02380,2019-04-15,15.48,CAMP005
DNT000073,DNR01426,2025-01-09,71.36,CAMP010
DNT000074,DNR04593,2024-05-27,49.14,CAMP008
DNT000075,DNR00303,2016-03-13,53.89,CAMP008
DNT000076,DNR03246,2019-05-09,27.48,CAMP007
DNT000077,DNR03835,2021-05-15,14.3,CAMP004
DNT000078,DNR03831,2023-05-17,60.57,CAMP007
DNT000079,DNR00999,2025-01-02,25.21,CAMP001
DNT000080,DNR00421,2020-11-30,61.62,CAMP006
DNT000081,DNR03885,2016-06-11,34.36,CAMP007
DNT000082,DNR01842,2016-12-05,55.87,CAMP003
DNT000083,DNR04523,2021-12-26,91.08,CAMP008
DNT000084,DNR04817,2022-06-24,20.01,CAMP008
DNT000085,DNR01965,2017-11-23,53.09,CAMP008
DNT000086,DNR00758,2024-10-01,246.72,CAMP005
DNT000087,DNR00024,2018-05-24,51.41,CAMP007
DNT000088,DNR02543,2023-06-11,69.9,CAMP005
DNT000089,DNR04304,2015-05-13,300.13,CAMP008
DNT000090,DNR01306,2016-01-04,93.54,CAMP009
DNT000091,DNR03629,2021-04-10,123.67,CAMP004
DNT000092,DNR04623,2015-02-06,207.28,CAMP004
DNT000093,DNR04168,2021-07-27,198.77,CAMP007
DNT000094,DNR00105,2019-08-10,23.11,CAMP007
DNT000095,DNR02566,2024-02-14,21.76,CAMP008
DNT000096,DNR00771,2023-01-23,78.41,CAMP007
DNT000097,DNR01710,2023-07-27,83.51,CAMP007
DNT000098,DNR00039,2018-06-29,162.09,CAMP006
DNT000099,DNR04858,2018-12-07,259.41,CAMP006
DNT000100,DNR00374,2024-11-06,78.42,CAMP010
DNT000101,DNR01114,2022-06-19,135.56,CAMP003
DNT000102,DNR01266,2024-10-06,38.0,CAMP004
DNT000103,DNR03163,2019-08-15,85.15,CAMP010
DNT000104,DNR01389,2021-01-06,50.97,CAMP004
DNT000105,DNR04800,2016-05-30,40.9,CAMP009
DNT000106,DNR00030,2023-10-20,39.79,CAMP006
DNT000107,DNR04112,2015-04-21,191.08,CAMP010
DNT000108,DNR04379,2015-09-26,231.88,CAMP003
DNT000109,DNR04694,2017-03-09,13.4,CAMP004
DNT000110,DNR02438,2020-07-04,37.31,CAMP006
DNT000111,DNR03289,2022-12-24,34.52,CAMP006
DNT000112,DNR03392,2015-04-28,13.82,CAMP005
DNT000113,DNR03040,2021-09-28,44.72,CAMP001
DNT000114,DNR02751,2022-01-28,16.74,CAMP010
DNT000115,DNR04746,2019-01-29,76.47,CAMP006
DNT000116,DNR04508,2021-09-13,97.65,CAMP004
DNT000117,DNR02026,2024-09-05,135.76,CAMP008
DNT000118,DNR03774,2016-01-16,204.1,CAMP010
DNT000119,DNR04572,2024-12-07,190.78,CAMP001
DNT000120,DNR04128,2020-04-11,182.11,CAMP005
DNT000121,DNR04287,2019-11-06,227.67,CAMP004
DNT000122,DNR04719,2018-01-31,53.45,CAMP005
DNT000123,DNR00473,2019-11-23,43.71,CAMP009
DNT000124,DNR00339,2021-04-04,79.5,CAMP007
DNT000125,DNR02653,2020-06-10,66.09,CAMP003
DNT000126,DNR01257,2023-02-06,57.92,CAMP003
DNT000127,DNR02811,2024-04-08,168.54,CAMP007
DNT000128,DNR00614,2016-07-16,129.01,CAMP001
DNT000129,DNR04827,2015-09-14,495.99,CAMP008
DNT000130,DNR04066,2023-06-13,28.91,CAMP003
DNT000131,DNR00866,2020-09-18,34.62,CAMP008
DNT000132,DNR03034,2024-05-15,79.82,CAMP008
DNT000133,DNR00533,2017-09-15,177.61,CAMP002
DNT000134,DNR00378,2021-01-28,140.66,CAMP003
DNT000135,DNR04798,2024-01-21,142.43,CAMP010
DNT000136,DNR00784,2020-01-03,157.91,CAMP001
DNT000137,DNR03604,2022-05-20,14.6,CAMP006
DNT000138,DNR02539,2021-05-19,19.42,CAMP003
DNT000139,DNR04209,2024-08-27,21.27,CAMP009
DNT000140,DNR02658,2020-04-16,308.57,CAMP001
DNT000141,DNR03479,2022-04-10,101.38,CAMP008
DNT000142,DNR02830,2021-01-18,62.57,CAMP007
DNT000143,DNR04813,2023-09-04,115.57,CAMP007
DNT000144,DNR01988,2024-10-17,210.0,CAMP008
DNT000145,DNR03252,2019-12-15,374.72,CAMP009
DNT000146,DNR01013,2019-12-24,146.7,CAMP008
DNT000147,DNR04737,2021-04-28,23.92,CAMP006
DNT000148,DNR01983,2021-02-06,130.03,CAMP001
DNT000149,DNR04117,2024-02-29,133.3,CAMP001
DNT000150,DNR01140,2018-12-07,189.21,CAMP007
DNT000151,DNR01841,2020-01-31,47.18,CAMP003
DNT000152,DNR01192,2016-06-16,10.56,CAMP003
DNT000153,DNR03047,2015-10-31,227.88,CAMP009
DNT000154,DNR02848,2021-09-01,150.43,CAMP010
DNT000155,DNR00713,2022-07-15,212.23,CAMP004
DNT000156,DNR03199,2015-06-24,250.48,CAMP003
DNT000157,DNR01988,2024-05-29,17.73,CAMP002
DNT000158,DNR04761,2016-08-14,118.52,CAMP005
DNT000159,DNR03983,2021-12-30,12.24,CAMP009
DNT000160,DNR00848,2022-05-26,343.85,CAMP008
DNT000161,DNR02287,2022-05-21,31.73,CAMP008
DNT000162,DNR03957,2021-09-23,58.47,CAMP001
DNT000163,DNR02366,2022-01-16,92.47,CAMP009
DNT000164,DNR03072,2025-01-23,134.55,CAMP008
DNT000165,DNR03736,2023-09-15,214.1,CAMP003
DNT000166,DNR04849,2022-05-28,120.93,CAMP008
DNT000167,DNR00071,2022-11-14,73.53,CAMP009
DNT000168,DNR00770,2020-07-02,597.97,CAMP002
DNT000169,DNR03496,2021-11-23,120.03,CAMP001
DNT000170,DNR00934,2016-07-28,84.95,CAMP001
DNT000171,DNR02532,2020-05-08,21.13,CAMP001
DNT000172,DNR03815,2021-06-07,31.56,CAMP005
DNT000173,DNR00834,2022-07-27,94.33,CAMP002
DNT000174,DNR03743,2020-07-28,94.5,CAMP004
DNT000175,DNR00112,2023-08-25,30.89,CAMP001
DNT000176,DNR02138,2020-07-16,284.82,CAMP002
DNT000177,DNR04823,2020-10-06,164.63,CAMP007
DNT000178,DNR02450,2023-05-12,192.69,CAMP009
DNT000179,DNR02887,2016-06-02,110.52,CAMP006
DNT000180,DNR01689,2017-09-26,11.24,CAMP010
DNT000181,DNR01638,2021-07-10,121.07,CAMP010
DNT000182,DNR04083,2018-01-12,13.1,CAMP005
DNT000183,DNR00478,2022-05-04,373.16,CAMP010
DNT000184,DNR01716,2021-11-15,166.18,CAMP007
DNT000185,DNR03240,2021-05-06,54.13,CAMP009
DNT000186,DNR00376,2023-08-27,251.48,CAMP002
DNT000187,DNR00450,2017-06-12,75.29,CAMP006
DNT000188,DNR03224,2018-07-07,164.0,CAMP003
DNT000189,DNR00917,2022-02-02,136.01,CAMP010
DNT000190,DNR04017,2022-03-02,107.93,CAMP010
DNT000191,DNR02796,2016-03-18,172.52,CAMP004
DNT000192,DNR03793,2023-03-15,77.45,CAMP005
DNT000193,DNR01988,2019-07-29,22.66,CAMP005
DNT000194,DNR00161,2024-03-14,328.82,CAMP010
DNT000195,DNR03574,2023-09-13,60.74,CAMP008
DNT000196,DNR01624,2019-01-26,68.71,CAMP005
DNT000197,DNR03721,2017-02-23,37.55,CAMP002
DNT000198,DNR03563,2019-02-08,180.31,CAMP002
DNT000199,DNR02789,2017-02-19,20.09,CAMP001
DNT000200,DNR01319,2020-04-22,151.19,CAMP002
DNT000201,DNR02774,2023-03-10,66.19,CAMP001
DNT000202,DNR01404,2017-01-10,262.08,CAMP003
