DonorID,Age,Gender,Location,JoinDate
DNR00001,56,Male,QLD,2020-10-03 22:59:27.552825
DNR00002,25,Male,ACT,2015-11-01 22:59:27.552825
DNR00003,75,Other,QLD,2020-11-28 22:59:27.552825
DNR00004,28,Male,NT,2015-08-14 22:59:27.552825
DNR00005,41,Other,SA,2019-09-08 22:59:27.552825
DNR00006,19,Female,VIC,2016-06-27 22:59:27.552825
DNR00007,77,Male,WA,2021-01-21 22:59:27.552825
DNR00008,75,Female,WA,2018-01-01 22:59:27.552825
DNR00009,42,Male,QLD,2023-01-01 22:59:27.552825
DNR00010,59,Other,TAS,2023-10-13 22:59:27.552825
DNR00011,64,Female,WA,2022-10-05 22:59:27.552825
DNR00012,72,Male,SA,2015-07-14 22:59:27.552825
DNR00013,68,Other,NSW,2018-08-21 22:59:27.552825
DNR00014,56,Female,NSW,2017-08-19 22:59:27.552825
DNR00015,77,Female,VIC,2023-08-22 22:59:27.552825
DNR00016,26,Female,VIC,2017-02-23 22:59:27.552825
DNR00017,37,Other,ACT,2016-01-29 22:59:27.552825
DNR00018,61,Male,ACT,2022-03-06 22:59:27.552825
DNR00019,52,Female,WA,2015-09-02 22:59:27.552825
DNR00020,67,Female,TAS,2021-07-03 22:59:27.552825
DNR00021,71,Female,ACT,2020-03-11 22:59:27.552825
DNR00022,35,Female,VIC,2019-12-23 22:59:27.552825
DNR00023,27,Female,TAS,2021-07-29 22:59:27.552825
DNR00024,48,Other,TAS,2023-01-20 22:59:27.552825
DNR00025,40,Male,SA,2017-11-19 22:59:27.552825
DNR00026,33,Male,ACT,2023-05-18 22:59:27.552825
DNR00027,70,Female,WA,2018-02-06 22:59:27.552825
DNR00028,77,Male,SA,2015-10-12 22:59:27.552825
DNR00029,32,Male,NSW,2024-02-15 22:59:27.552825
DNR00030,24,Male,NSW,2020-07-22 22:59:27.552825
DNR00031,61,Other,QLD,2021-02-12 22:59:27.552825
DNR00032,34,Other,NSW,2023-02-26 22:59:27.552825
DNR00033,76,Male,VIC,2018-01-23 22:59:27.552825
DNR00034,58,Other,NT,2023-10-02 22:59:27.552825
DNR00035,29,Female,NT,2015-10-20 22:59:27.552825
DNR00036,72,Other,SA,2019-07-04 22:59:27.552825
DNR00037,52,Female,NSW,2020-01-01 22:59:27.552825
DNR00038,52,Male,QLD,2020-03-26 22:59:27.552825
DNR00039,18,Male,ACT,2022-12-04 22:59:27.552825
DNR00040,31,Other,NSW,2016-07-08 22:59:27.552825
DNR00041,32,Other,VIC,2019-02-24 22:59:27.552825
DNR00042,77,Male,ACT,2021-12-08 22:59:27.552825
DNR00043,66,Male,WA,2024-01-15 22:59:27.552825
DNR00044,47,Male,SA,2018-01-23 22:59:27.552825
DNR00045,32,Other,WA,2022-10-27 22:59:27.552825
DNR00046,30,Other,QLD,2019-08-02 22:59:27.552825
DNR00047,39,Female,SA,2016-10-29 22:59:27.552825
DNR00048,79,Male,TAS,2015-12-03 22:59:27.552825
DNR00049,45,Female,QLD,2018-11-16 22:59:27.552825
DNR00050,75,Other,ACT,2020-03-15 22:59:27.552825
DNR00051,79,Male,NSW,2020-06-11 22:59:27.552825
DNR00052,44,Female,WA,2016-12-17 22:59:27.552825
DNR00053,30,Male,ACT,2020-10-15 22:59:27.552825
DNR00054,23,Other,TAS,2022-07-11 22:59:27.552825
DNR00055,54,Male,WA,2020-11-09 22:59:27.552825
DNR00056,41,Other,NT,2019-11-01 22:59:27.552825
DNR00057,58,Male,NSW,2019-03-24 22:59:27.552825
DNR00058,75,Female,SA,2015-08-01 22:59:27.552825
DNR00059,66,Male,NSW,2022-05-22 22:59:27.552825
DNR00060,19,Female,TAS,2018-02-03 22:59:27.552825
DNR00061,40,Male,NSW,2019-06-26 22:59:27.552825
DNR00062,18,Other,VIC,2019-10-02 22:59:27.552825
DNR00063,70,Female,TAS,2019-08-29 22:59:27.552825
DNR00064,49,Other,ACT,2022-01-05 22:59:27.552825
DNR00065,28,Other,ACT,2023-03-16 22:59:27.552825
DNR00066,55,Male,VIC,2016-04-10 22:59:27.552825
DNR00067,23,Female,ACT,2019-01-06 22:59:27.552825
DNR00068,65,Male,WA,2015-05-05 22:59:27.552825
DNR00069,76,Female,SA,2017-06-04 22:59:27.552825
DNR00070,20,Other,QLD,2018-12-12 22:59:27.552825
DNR00071,43,Other,QLD,2020-02-06 22:59:27.552825
DNR00072,37,Other,NSW,2019-04-03 22:59:27.552825
DNR00073,50,Other,NT,2017-10-08 22:59:27.552825
DNR00074,18,Other,VIC,2017-05-26 22:59:27.552825
DNR00075,40,Other,ACT,2019-10-29 22:59:27.552825
DNR00076,77,Female,NSW,2022-08-05 22:59:27.552825
DNR00077,69,Male,NSW,2018-09-09 22:59:27.552825
DNR00078,65,Female,SA,2023-01-23 22:59:27.552825
DNR00079,49,Other,NSW,2015-12-01 22:59:27.552825
DNR00080,58,Other,NT,2019-09-11 22:59:27.552825
DNR00081,33,Other,NT,2023-03-13 22:59:27.552825
DNR00082,71,Male,QLD,2022-08-01 22:59:27.552825
DNR00083,66,Female,WA,2024-01-07 22:59:27.552825
DNR00084,79,Other,TAS,2015-08-02 22:59:27.552825
DNR00085,42,Other,SA,2018-04-11 22:59:27.552825
DNR00086,35,Female,VIC,2023-05-18 22:59:27.552825
DNR00087,71,Other,NSW,2021-09-06 22:59:27.552825
DNR00088,53,Male,NSW,2019-11-29 22:59:27.552825
DNR00089,31,Male,WA,2022-01-25 22:59:27.552825
DNR00090,73,Other,NSW,2020-12-18 22:59:27.552825
DNR00091,50,Other,ACT,2023-01-06 22:59:27.552825
DNR00092,39,Female,TAS,2019-08-31 22:59:27.552825
DNR00093,55,Male,TAS,2022-10-05 22:59:27.552825
DNR00094,25,Other,VIC,2018-08-15 22:59:27.552825
DNR00095,38,Female,ACT,2017-12-01 22:59:27.552825
DNR00096,50,Male,SA,2015-11-26 22:59:27.552825
DNR00097,65,Other,NT,2022-10-21 22:59:27.552825
DNR00098,66,Male,WA,2015-06-03 22:59:27.552825
DNR00099,47,Male,SA,2021-05-16 22:59:27.552825
DNR00100,23,Other,SA,2019-06-17 22:59:27.552825
DNR00101,41,Male,TAS,2017-05-02 22:59:27.552825
DNR00102,70,Other,WA,2015-08-15 22:59:27.552825
DNR00103,50,Other,SA,2018-01-01 22:59:27.552825
DNR00104,49,Other,NT,2021-01-21 22:59:27.552825
DNR00105,20,Female,VIC,2019-04-30 22:59:27.552825
DNR00106,48,Female,QLD,2022-09-28 22:59:27.552825
DNR00107,57,Female,NT,2022-08-03 22:59:27.552825
DNR00108,64,Female,VIC,2019-09-07 22:59:27.552825
DNR00109,44,Female,VIC,2020-06-10 22:59:27.552825
DNR00110,34,Male,NT,2023-08-18 22:59:27.552825
DNR00111,56,Male,ACT,2019-08-19 22:59:27.552825
