DonorID,Channel,Date,EngagementOutcome
DNR00001,Social Media,27/12/2022,Not Reached
DNR00001,Phone Call,11/12/2023,Bounced
DNR00001,Social Media,3/02/2024,Engaged
DNR00001,Phone Call,17/03/2024,Engaged
DNR00001,Newsletter,24/04/2024,Engaged
DNR00001,Newsletter,27/05/2024,Unsubscribed
DNR00001,Email,8/01/2025,Unsubscribed
DNR00001,Email,4/02/2025,Bounced
DNR00001,Social Media,9/03/2025,Bounced
DNR00002,Newsletter,9/09/2023,Not Reached
DNR00002,Social Media,14/12/2023,Bounced
DNR00002,Email,18/12/2023,Unsubscribed
DNR00003,Email,8/10/2022,Bounced
DNR00003,Email,26/08/2023,Engaged
DNR00003,Newsletter,2/09/2023,Engaged
DNR00003,Email,7/08/2024,Bounced
DNR00003,Email,19/01/2025,Engaged
DNR00004,Social Media,1/09/2022,Unsubscribed
DNR00004,Phone Call,20/07/2024,Engaged
DNR00004,Newsletter,10/09/2024,Unsubscribed
DNR00004,Social Media,6/10/2024,Engaged
DNR00004,Email,17/02/2025,Engaged
DNR00005,Email,26/05/2023,Bounced
DNR00006,Email,6/03/2023,Not Reached
DNR00006,Email,9/06/2023,Bounced
DNR00006,Social Media,21/02/2024,Not Reached
DNR00007,Phone Call,12/08/2022,Not Reached
DNR00007,Email,26/01/2024,Engaged
DNR00008,Social Media,1/01/2023,Engaged
DNR00008,Email,7/03/2023,Engaged
DNR00008,Email,2/05/2023,Engaged
DNR00008,Email,13/09/2023,Not Reached
DNR00008,Email,23/09/2023,Engaged
DNR00008,Email,28/12/2024,Engaged
DNR00009,Phone Call,19/11/2022,Unsubscribed
DNR00009,Email,14/12/2022,Not Reached
DNR00009,Newsletter,16/11/2023,Unsubscribed
DNR00009,Phone Call,3/06/2024,Engaged
DNR00009,Phone Call,15/12/2024,Engaged
DNR00010,Newsletter,28/07/2022,Engaged
DNR00010,Social Media,12/01/2023,Engaged
DNR00010,Phone Call,3/10/2023,Engaged
DNR00010,Newsletter,22/12/2023,Engaged
DNR00010,Email,8/01/2024,Not Reached
DNR00011,Email,4/11/2022,Unsubscribed
DNR00011,Email,29/09/2024,Bounced
DNR00012,Email,28/04/2023,Not Reached
DNR00012,Phone Call,4/12/2023,Engaged
DNR00012,Email,12/02/2024,Engaged
DNR00012,Phone Call,19/04/2024,Engaged
DNR00012,Email,9/05/2024,Engaged
DNR00012,Social Media,29/09/2024,Engaged
DNR00013,Social Media,9/12/2022,Not Reached
DNR00013,Social Media,7/02/2023,Unsubscribed
DNR00013,Email,1/03/2023,Engaged
DNR00013,Phone Call,13/06/2023,Unsubscribed
DNR00013,Social Media,30/12/2023,Unsubscribed
DNR00013,Phone Call,15/07/2024,Engaged
DNR00013,Email,10/02/2025,Bounced
DNR00014,Phone Call,13/11/2022,Engaged
DNR00014,Phone Call,30/05/2023,Engaged
DNR00014,Phone Call,3/09/2023,Engaged
DNR00014,Email,26/01/2024,Unsubscribed
DNR00014,Phone Call,1/02/2024,Engaged
DNR00015,Newsletter,2/09/2022,Unsubscribed
DNR00015,Email,24/03/2023,Bounced
DNR00015,Email,28/05/2023,Engaged
DNR00015,Social Media,9/09/2023,Unsubscribed
DNR00015,Phone Call,13/09/2023,Engaged
DNR00015,Phone Call,17/11/2023,Engaged
DNR00015,Email,23/05/2024,Not Reached
DNR00015,Newsletter,21/12/2024,Engaged
DNR00015,Newsletter,16/03/2025,Bounced
DNR00016,Email,24/09/2022,Not Reached
DNR00016,Phone Call,17/10/2022,Engaged
DNR00016,Social Media,6/01/2023,Engaged
DNR00016,Newsletter,31/08/2023,Engaged
DNR00016,Social Media,9/11/2023,Engaged
DNR00016,Social Media,23/09/2024,Engaged
DNR00016,Email,16/01/2025,Unsubscribed
DNR00017,Email,13/11/2023,Bounced
DNR00017,Newsletter,4/05/2024,Engaged
DNR00017,Newsletter,29/09/2024,Unsubscribed
DNR00017,Social Media,13/03/2025,Unsubscribed
DNR00018,Newsletter,4/12/2022,Not Reached
DNR00018,Email,31/12/2022,Engaged
DNR00018,Email,31/07/2023,Not Reached
DNR00018,Phone Call,3/06/2024,Engaged
DNR00018,Social Media,28/07/2024,Not Reached
DNR00018,Email,8/02/2025,Bounced
DNR00018,Email,1/04/2025,Engaged
DNR00019,Social Media,31/08/2022,Unsubscribed
DNR00019,Phone Call,20/09/2022,Unsubscribed
DNR00019,Social Media,18/05/2023,Unsubscribed
DNR00019,Social Media,2/11/2023,Not Reached
DNR00019,Newsletter,3/03/2024,Engaged
DNR00020,Email,13/08/2022,Not Reached
DNR00020,Newsletter,8/12/2022,Engaged
DNR00020,Phone Call,12/01/2023,Engaged
DNR00020,Newsletter,31/05/2023,Engaged
DNR00020,Social Media,11/12/2023,Bounced
DNR00020,Phone Call,23/12/2024,Not Reached
DNR00021,Newsletter,27/08/2022,Engaged
DNR00021,Newsletter,31/12/2022,Bounced
DNR00021,Email,31/12/2023,Bounced
DNR00021,Email,16/02/2024,Engaged
DNR00021,Social Media,8/10/2024,Unsubscribed
DNR00021,Email,17/04/2025,Engaged
DNR00022,Email,25/11/2022,Engaged
DNR00023,Email,11/12/2022,Unsubscribed
DNR00023,Email,22/12/2022,Engaged
DNR00023,Newsletter,1/05/2023,Engaged
DNR00023,Social Media,5/05/2023,Engaged
DNR00023,Email,29/09/2023,Engaged
DNR00023,Phone Call,25/12/2023,Not Reached
DNR00023,Social Media,16/03/2024,Not Reached
DNR00023,Social Media,23/03/2024,Unsubscribed
DNR00023,Phone Call,20/04/2024,Engaged
DNR00024,Email,23/01/2023,Engaged
DNR00024,Phone Call,25/01/2023,Not Reached
DNR00024,Social Media,9/04/2023,Engaged
DNR00024,Newsletter,31/05/2023,Engaged
DNR00024,Email,16/06/2023,Not Reached
DNR00024,Phone Call,10/10/2023,Not Reached
DNR00024,Phone Call,8/01/2025,Engaged
DNR00024,Phone Call,18/01/2025,Not Reached
DNR00025,Email,25/12/2022,Bounced
DNR00025,Email,30/12/2022,Bounced
DNR00025,Email,5/10/2023,Engaged
DNR00025,Social Media,3/02/2024,Not Reached
DNR00025,Newsletter,8/05/2024,Engaged
DNR00025,Email,7/08/2024,Engaged
DNR00025,Phone Call,7/09/2024,Engaged
DNR00026,Phone Call,1/06/2023,Engaged
DNR00026,Newsletter,10/07/2023,Bounced
DNR00026,Phone Call,9/09/2023,Unsubscribed
DNR00026,Phone Call,20/10/2023,Engaged
DNR00026,Social Media,28/06/2024,Bounced
DNR00026,Email,16/11/2024,Engaged
DNR00026,Newsletter,7/03/2025,Bounced
DNR00027,Email,11/05/2023,Engaged
DNR00027,Email,19/12/2023,Engaged
DNR00027,Newsletter,25/01/2024,Bounced
DNR00027,Phone Call,20/11/2024,Engaged
DNR00027,Email,31/01/2025,Engaged
DNR00028,Newsletter,9/02/2023,Unsubscribed
DNR00028,Social Media,9/02/2023,Engaged
DNR00028,Phone Call,16/02/2023,Unsubscribed
DNR00028,Email,21/11/2023,Unsubscribed
DNR00028,Social Media,29/06/2024,Bounced
DNR00028,Email,4/12/2024,Engaged
DNR00029,Phone Call,14/11/2022,Bounced
DNR00029,Social Media,6/04/2023,Bounced
DNR00029,Email,17/05/2023,Bounced
DNR00029,Email,20/09/2023,Not Reached
DNR00029,Phone Call,28/02/2024,Engaged
DNR00029,Newsletter,20/05/2024,Engaged
DNR00029,Email,17/08/2024,Engaged
DNR00029,Email,4/11/2024,Engaged
DNR00029,Newsletter,1/12/2024,Engaged
DNR00030,Newsletter,13/10/2023,Bounced
DNR00030,Email,27/12/2023,Engaged
DNR00030,Newsletter,19/03/2024,Engaged
DNR00030,Email,19/10/2024,Not Reached
DNR00031,Email,2/08/2022,Bounced
DNR00032,Email,24/01/2023,Not Reached
DNR00032,Phone Call,24/07/2023,Engaged
DNR00032,Email,31/10/2024,Engaged
DNR00033,Social Media,27/07/2022,Bounced
DNR00033,Social Media,26/07/2024,Engaged
DNR00033,Newsletter,23/03/2025,Engaged
DNR00034,Social Media,14/09/2022,Engaged
DNR00034,Email,25/10/2022,Not Reached
DNR00034,Phone Call,30/07/2023,Not Reached
DNR00034,Email,7/12/2023,Not Reached
DNR00034,Social Media,16/02/2025,Engaged
DNR00035,Social Media,19/10/2022,Engaged
DNR00035,Email,6/11/2022,Engaged
DNR00035,Email,18/01/2023,Engaged
DNR00035,Newsletter,19/02/2023,Not Reached
DNR00035,Email,22/04/2023,Engaged
DNR00035,Email,27/01/2024,Not Reached
DNR00035,Phone Call,18/05/2024,Not Reached
DNR00035,Email,13/09/2024,Engaged
DNR00035,Phone Call,4/03/2025,Engaged
DNR00036,Newsletter,6/11/2022,Bounced
DNR00036,Email,21/03/2024,Unsubscribed
DNR00036,Email,17/05/2024,Unsubscribed
DNR00037,Social Media,21/12/2022,Bounced
DNR00037,Phone Call,20/06/2023,Not Reached
DNR00037,Newsletter,10/02/2024,Engaged
DNR00037,Email,28/02/2024,Unsubscribed
DNR00037,Email,7/12/2024,Engaged
DNR00038,Email,17/10/2022,Not Reached
DNR00038,Social Media,6/02/2023,Engaged
DNR00038,Newsletter,30/04/2023,Engaged
DNR00038,Phone Call,23/11/2023,Bounced
DNR00038,Email,4/07/2024,Engaged
DNR00038,Phone Call,18/02/2025,Unsubscribed
DNR00039,Social Media,8/01/2023,Engaged
DNR00039,Newsletter,10/01/2023,Bounced
DNR00039,Email,29/01/2023,Engaged
DNR00039,Newsletter,2/07/2023,Engaged
DNR00039,Email,19/03/2024,Bounced
DNR00039,Email,28/05/2024,Engaged
DNR00039,Email,8/06/2024,Not Reached
DNR00039,Phone Call,10/02/2025,Engaged
DNR00040,Newsletter,16/10/2022,Engaged
DNR00040,Social Media,15/05/2023,Bounced
DNR00040,Social Media,26/09/2023,Not Reached
DNR00040,Social Media,27/11/2023,Not Reached
DNR00040,Newsletter,12/02/2024,Engaged
DNR00040,Newsletter,9/03/2024,Not Reached
DNR00040,Phone Call,18/09/2024,Unsubscribed
DNR00040,Email,23/12/2024,Engaged
DNR00040,Social Media,2/01/2025,Engaged
DNR00041,Social Media,11/02/2023,Engaged
DNR00042,Email,16/08/2022,Not Reached
DNR00042,Newsletter,31/08/2022,Engaged
DNR00042,Email,14/04/2023,Not Reached
DNR00042,Newsletter,18/04/2023,Bounced
DNR00042,Social Media,19/05/2023,Engaged
DNR00042,Phone Call,23/05/2023,Unsubscribed
DNR00042,Email,23/01/2024,Bounced
DNR00042,Social Media,17/02/2024,Engaged
DNR00042,Social Media,27/05/2024,Unsubscribed
DNR00043,Newsletter,29/09/2022,Engaged
DNR00043,Social Media,11/03/2023,Engaged
DNR00043,Newsletter,28/06/2023,Engaged
DNR00043,Email,23/11/2023,Bounced
DNR00043,Email,11/04/2025,Engaged
DNR00044,Newsletter,5/08/2022,Not Reached
DNR00044,Social Media,20/11/2023,Engaged
DNR00044,Email,15/01/2024,Engaged
DNR00044,Phone Call,6/03/2024,Engaged
DNR00044,Phone Call,29/03/2024,Bounced
DNR00044,Newsletter,15/12/2024,Engaged
DNR00045,Email,19/03/2023,Not Reached
DNR00045,Email,16/06/2023,Unsubscribed
DNR00045,Social Media,25/08/2023,Engaged
DNR00045,Newsletter,12/11/2023,Unsubscribed
DNR00045,Phone Call,15/01/2024,Engaged
DNR00045,Social Media,20/05/2024,Unsubscribed
DNR00045,Email,30/10/2024,Engaged
DNR00045,Newsletter,31/03/2025,Engaged
DNR00046,Email,22/08/2022,Engaged
DNR00046,Email,3/02/2023,Not Reached
DNR00046,Email,25/04/2023,Engaged
DNR00046,Social Media,21/02/2024,Bounced
DNR00046,Phone Call,23/11/2024,Engaged
DNR00047,Social Media,3/03/2023,Engaged
DNR00047,Social Media,27/03/2023,Engaged
DNR00047,Email,7/04/2023,Engaged
DNR00047,Social Media,22/06/2024,Unsubscribed
DNR00047,Phone Call,24/06/2024,Bounced
DNR00047,Email,19/03/2025,Engaged
DNR00048,Email,30/08/2022,Engaged
DNR00048,Newsletter,13/10/2022,Unsubscribed
DNR00048,Email,4/03/2023,Bounced
DNR00048,Email,14/09/2023,Engaged
DNR00048,Email,27/09/2023,Not Reached
DNR00048,Email,20/11/2023,Engaged
DNR00048,Social Media,30/12/2023,Not Reached
DNR00048,Email,15/01/2024,Bounced
DNR00048,Phone Call,6/06/2024,Engaged
DNR00049,Newsletter,23/04/2023,Engaged
DNR00049,Newsletter,20/06/2023,Engaged
DNR00049,Email,2/07/2023,Engaged
DNR00049,Newsletter,27/11/2024,Engaged
DNR00049,Email,6/12/2024,Engaged
DNR00049,Email,11/12/2024,Engaged
DNR00050,Email,21/10/2022,Engaged
DNR00050,Newsletter,2/01/2023,Engaged
DNR00050,Email,23/01/2025,Not Reached
DNR00051,Email,16/08/2023,Bounced
DNR00051,Phone Call,29/02/2024,Engaged
DNR00052,Phone Call,11/07/2023,Engaged
DNR00052,Phone Call,19/02/2024,Unsubscribed
DNR00052,Social Media,18/03/2024,Engaged
DNR00052,Email,13/09/2024,Engaged
DNR00052,Social Media,11/10/2024,Engaged
DNR00052,Social Media,26/11/2024,Engaged
DNR00053,Social Media,24/12/2023,Engaged
DNR00053,Email,19/01/2024,Engaged
DNR00054,Newsletter,6/12/2024,Engaged
DNR00055,Email,14/03/2023,Not Reached
DNR00055,Email,9/08/2024,Engaged
DNR00055,Social Media,19/02/2025,Bounced
DNR00056,Email,24/10/2022,Engaged
DNR00056,Email,13/12/2023,Bounced
DNR00056,Email,26/01/2024,Engaged
DNR00056,Phone Call,19/04/2024,Unsubscribed
DNR00056,Social Media,22/11/2024,Unsubscribed
DNR00056,Phone Call,10/12/2024,Engaged
DNR00057,Social Media,16/12/2022,Not Reached
DNR00057,Newsletter,22/01/2023,Engaged
DNR00057,Phone Call,8/02/2023,Unsubscribed
DNR00057,Phone Call,7/06/2024,Bounced
DNR00057,Newsletter,2/08/2024,Engaged
DNR00057,Newsletter,30/08/2024,Bounced
DNR00057,Email,26/09/2024,Not Reached
DNR00057,Email,17/01/2025,Engaged
DNR00058,Newsletter,8/08/2022,Bounced
